city;yr;mo;ET0_MES;1_6;7_13;14_16;17_20;21_24;25_27
Barra do Turvo;2008;10;4.0029831025690585;3.2424163130809376;4.883639385134251;4.923669216159942;3.562654961286462;3.7628041164149146;2.1616108753872916
Barra do Turvo;2008;11;4.706007896006856;3.8118663957655534;5.741329633128364;5.788389712088432;4.188347027446102;4.423647422246444;2.5412442638437023
Barra do Turvo;2008;12;1.7687801171292161;1.432711894874665;2.1579117428976438;2.1755995440689357;1.5742143042450023;1.6626533101014631;0.9551412632497768
Barra do Turvo;2008;7;2.7159799729890155;2.199943778121103;3.3134955670465986;3.340655366776489;2.417222175960224;2.5530211746096745;1.4666291854140685
Barra do Turvo;2008;8;2.7827576015526123;2.254033657257616;3.3949642738941868;3.422791849909713;2.476654265381825;2.6157921454594555;1.5026891048384108
Barra do Turvo;2008;9;3.186164530985451;2.5807932700982152;3.88712072780225;3.9189823731121045;2.8356864325770514;2.994994659126324;1.7205288467321436
Barra do Turvo;2009;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;12;5.343884052263772;4.328546082333656;6.519538543761802;6.57297738428444;4.756056806514757;5.023251009127946;2.8856973882224373
Barra do Turvo;2009;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2009;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Barra do Turvo;2010;1;5.247908415082917;4.250805816217163;6.402448266401159;6.454927350551988;4.670638489423796;4.933033910177942;2.8338705441447756
Barra do Turvo;2010;10;3.9241487097374574;3.1785604548873407;4.787461425879698;4.826702912977073;3.4924923516663373;3.68869978715321;2.119040303258227
Barra do Turvo;2010;11;5.30609197698772;4.297934501360054;6.473432211925019;6.526493131694896;4.722421859519071;4.987726458368457;2.8652896675733692
Barra do Turvo;2010;12;5.256545483411636;4.257801841563426;6.412985489762196;6.465550944596313;4.6783254802363565;4.941152754406938;2.838534561042284
Barra do Turvo;2010;2;5.493137760084926;4.44944158566879;6.701628067303609;6.756559444904458;4.888892606475584;5.16354949447983;2.96629439044586
Barra do Turvo;2010;3;4.187731026479531;3.3920621314484203;5.109031852305027;5.150909162569823;3.7270806135667827;3.9364671648907588;2.261374754298947
Barra do Turvo;2010;4;3.3385116611230137;2.7041944455096414;4.072984226570076;4.106369343181306;2.9712753783994823;3.1382009614556328;1.8027962970064275
Barra do Turvo;2010;5;2.5216542103161013;2.042539910356042;3.0764181365856436;3.1016346786888045;2.24427224718133;2.3703549576971352;1.3616932735706948
Barra do Turvo;2010;6;2.322779095757758;1.881451067563784;2.8337904968244647;2.8570182877820423;2.0672733952244045;2.183412350012292;1.2543007117091893
